Título Original,Duración,Género,Sinopsis
How to Train Your Dragon 2,102,"Animación, Fantástico, Aventuras","Han pasado cinco años desde que Hipo empezó a entrenar a su dragón, rompiendo la tradición vikinga de cazarlos. Astrid y el resto de la pandilla han conseguido difundir en la isla un nuevo deporte: las carreras de dragones. Mientras realizan una carrera, atraviesan los cielos llegando a territorios inhóspitos, donde nadie antes ha estado. Durante un viaje descubren una cueva cubierta de hielo que resulta ser el refugio de cientos de dragones salvajes, a los que cuida un misterioso guardián. Hipo y los suyos se unen al guardián para proteger a los dragones de las fuerzas malignas que quieren acabar con ellos. (FILMAFFINITY)"
Logan,135,"Thriller, Acción, Drama, Ciencia ficción","Sin sus poderes, por primera vez, Wolverine es verdaderamente vulnerable. Después de una vida de dolor y angustia, sin rumbo y perdido en el mundo donde los X-Men son leyenda, su mentor Charles Xavier lo convence para asumir una última misión: proteger a una joven que será la única esperanza para la raza mutante... Tercera y última película protagonizada por Hugh Jackman en el papel de Lobezno. (FILMAFFINITY)"
Rogue One: A Star Wars Story,133,"Ciencia ficción, Acción, Bélico","El Imperio Galáctico ha terminado de construir el arma más poderosa de todas, la Estrella de la muerte, pero un grupo de rebeldes decide realizar una misión de muy alto riesgo: robar los planos de dicha estación antes de que entre en operaciones, mientras se enfrentan también al poderoso Lord Sith conocido como Darth Vader, discípulo del despiadado Emperador Palpatine. Historia ambientada entre los episodios III y IV de Star Wars. (FILMAFFINITY)"
"Ruben Brandt, a gyujto",96,"Animación, Thriller","El psicoterapeuta Ruben Brandt sufre pesadillas violentas inspiradas en 13 obras de arte famosas, como ""Retrato del cartero Joseph Roulin"", de Van Gogh, la ""Venus of Urbino, de Tiziano, o ""Mujer con libro"", de Picasso. Cuatro de sus pacientes, que son ladrones expertos, se ofrecen para robar todas esas obras maestras, ya que creen que una vez que las posea desaparecerán las pesadillas. Brandt acepta el plan y ellos se cuelan en museos y galerías de arte de todo el mundo. Brandt se convierte en ""el colecionista”, uno de los delincuentes más buscados. Gangsters y cazarrecompensas le buscan para ganar los 100 millones de dólares que se pagan por su captura. Al mismo tiempo, un grupo de compañías de seguros contrata a Mike Kowalski, un detective privado y experto en robos de arte, para resolver el caso. (FILMAFFINITY)"
Sulla mia pelle,100,Drama,"Stefano Cucchi, detenido en Roma por un delito de drogas, sufre una semana horrible de encarcelamiento que afecta a su familia para siempre. (FILMAFFINITY)"
Sauvage,97,Drama,"Léo (Félix Maritaud) tiene 22 años y vende su cuerpo por un poco de dinero. Los hombres van y vienen, y él se encuentra a sí mismo buscando el afecto en cualquier lugar donde pueda obtenerlo. No sabe qué le deparará el futuro. (FILMAFFINITY)"
Adam,98,Drama,"Abla regenta una humilde pastelería en su propia vivienda de Casablanca, donde vive sola con Warda, su hija de 8 años. Su rutina, dictada por el trabajo y las labores domésticas, se ve un día interrumpida cuando alguien llama a su puerta. Se trata de Samia, una joven embarazada que busca empleo y techo. A la pequeña le atrae la recién llegada desde el primer momento, pero la madre se opone inicialmente a acoger a la extraña en su casa. Poco a poco, sin embargo, la determinación de Abla va cediendo y la llegada de Samia les abre a las tres la posibilidad de una nueva vida. (FILMAFFINITY)"
Respire,90,Drama,"Charlie tiene 17 años. Está en la edad de dedicar su vida a salir con sus amigos: emociones, convicciones y pasiones. Sarah es la chica nueva. Hermosa, valiente, con historia y mucha personalidad. Una estrella desde el principio. Nada podía anticipar que sus caminos se cruzarían, pero así ocurre. (FILMAFFINITY)"
Dorogie tovarishchi! (Dear Comrades!),121,Drama,"Novocherkask, Unión Soviética, 1962. Lyudmila es miembro del partido comunista local. Ella defiende los ideales del régimen comunista y desprecia todo tipo de disidencia. Durante una huelga laboral en una fábrica de motores, ve cómo el ejército mandado por el Gobierno dispara a los protestantes y comete una masacre. Ese suceso cambiará su visión de las cosas. Con la ciudad destruida y agitada por las revueltas, hay mucha gente herida y desaparecida. Una de las desaparecidas es la hija de Lyudmila, lo que la obligará a buscarla entre el caos. (FILMAFFINITY)"
Promising Young Woman,113,"Thriller, Drama","Cassie tenía un brillante futuro por delante hasta que un desagradable incidente truncó su carrera. Ahora nada en su vida es lo que parece: es inteligente, audaz y vive una doble vida de noche. Cassie tiene la oportunidad de enmendar todo lo que no salió bien en su pasado... vengándose de los culpables. (FILMAFFINITY)"
Gravity,90,"Thriller, Drama","Mientras reparan un satélite fuera de su nave, dos astronautas sufren un grave accidente y quedan flotando en el espacio. Son la doctora Ryan Stone, una brillante ingeniera que realiza su primera misión espacial, y el veterano astronauta Matt Kowalsky. La misión exterior parecía rutinaria, pero una lluvia de basura espacial les alcanza y se produce el desastre: el satélite y parte de la nave quedan destrozados, dejando a Ryan y Matt completamente solos, momento a partir del cual intentarán por todos los medios buscar una solución para volver a la Tierra. (FILMAFFINITY)"
Le Grand Méchant Renard et autres contes,79,"Animación, Comedia","Aquellos que piensan que la campiña es un lugar tranquilo y pacífico están equivocados, allí se encuentran animales particularmente agitados, un Zorro que piensa que es un pollo, un Conejo que hace la cigüeña y un Pato que quiere reemplazar a Santa Claus. Si deseas tomarte unas vacaciones, pasa de largo y sigue tu camino… (FILMAFFINITY)"
Mid90s,84,Drama,"Stevie, un chico de 13 años que vive en el Los Ángeles de los años 90, pasa el verano lidiando con los problemas de su vida doméstica y divirtiéndose con su nuevo grupo de amigos, que ha conocido en una tienda de skate. (FILMAFFINITY)"
Ida (Sister of Mercy),80,Drama,"Polonia, 1960. Anna (Agata Trzebuchowska), una novicia huérfana que está a punto de hacerse monja, descubre que tiene un pariente vivo: una hermana de su madre que no quiso hacerse cargo de ella de niña. La madre superiora obliga a Anna a visitarla antes de tomar los hábitos. La tía, una juez desencantada y alcohólica, cuenta a su sobrina que su verdadero nombre es Ida Lebenstein, que es judía y que el trágico destino de su familia se remonta a la terrible época de la ocupación nazi."
Guardians of the Galaxy,118,"Ciencia ficción, Acción, Aventuras, Comedia","El temerario aventurero Peter Quill es objeto de un implacable cazarrecompensas después de robar una misteriosa esfera codiciada por Ronan, un poderoso villano cuya ambición amenaza todo el universo. Para poder escapar del incansable Ronan, Quill se ve obligado a pactar una complicada tregua con un cuarteto de disparatados inadaptados: Rocket, un mapache armado con un rifle, Groot, un humanoide con forma de árbol, la letal y enigmática Gamora y el vengativo Drax the Destroyer. Pero cuando Quill descubre el verdadero poder de la esfera, deberá hacer todo lo posible para derrotar a sus extravagantes rivales en un intento desesperado de salvar el destino de la galaxia. (FILMAFFINITY)"
Columbus,104,Drama,"Jin se encuentra atrapado en Columbus, Indiana, donde su padre arquitecto está en coma. Allí conoce a Casey una joven de 19 años, bibliotecaria y muy apasionada a la arquitectura que quiere quedarse en la ciudad con su madre, una adicta que se está recuperando, en lugar de perseguir sus sueños. (FILMAFFINITY)"
Sinsegye - Sin-se-gae (New World),134,Thriller,"Tras la muerte del jefe del sindicato del crimen más poderoso del país, se desencadena una despiadada guerra por su sucesor, donde los asesinatos y las venganzas sacan a relucir un mundo violento y descarnado. En medio de todo ello se encuentra un joven detective de policía infiltrado en la organización, que tendrá que usar su instinto para sobrevivir al caos que se ha impuesto. (FILMAFFINITY)"
The Boy Who Harnessed the Wind,113,Drama,Un chico de la República de Malaui decide ayudar a las personas de su pueblo construyendo una turbina después de leer un libro en el que se explican los pasos para su creación. Inspirada en una historia real. (FILMAFFINITY)
Zack Snyder's Justice League,242,"Fantástico, Acción","Con la determinación de asegurar que el sacrificio definitivo de Superman (Henry Cavill) no fue en vano, Bruce Wayne (Ben Affleck) une fuerzas con Diana Prince (Gal Gadot) para reclutar a un equipo de metahumanos que protejan el mundo de una amenaza inminente de proporciones catastróficas. La tarea es más difícil de lo que Bruce imaginaba, ya que cada uno de los reclutas deberá enfrentarse a sus propios demonios para trascender aquello que los detenía, para unirse y formar de manera definitiva una liga de héroes sin precedentes. Ahora unidos, Batman, la Mujer Maravilla, Aquaman (Jason Momoa), Cyborg (Ray Fisher) y Flash (Ezra Miller) deberán salvar al planeta de la amenaza de Steppenwolf, DeSaad y Darkseid, antes de que sea demasiado tarde."
Dronningen,127,Drama,"Annie (Trine Dyrholm) es una exitosa abogada que vive en una casa de estilo modernista con sus dos hijas y su marido Peter, un reputado físico. La aparición de Gustav, un hijo que pertenece a una relación previa de Peter, pone patas arriba la armonía que reina en la vida de Annie. Lo que en un principio parece ser un movimiento liberador para ella, pronto se convierte en una historia de poder y traición que tendrá consecuencias devastadoras en su vida. (FILMAFFINITY)"
Hva vil folk si,106,Drama,"Nisha, una chica de 16 años, vive en Noruega una doble vida. En casa es la perfecta hija paquistaní, pero cuando sale con sus amigos se convierte en una chica occidental, acorde con la sociedad en que vive. Cuando su padre la pilla con su novio en su habitación, sus dos mundos chocan. Para darle una lección, sus padres deciden mandarla a Paquistán, donde tendrá que adaptarse a aquella sociedad.  (FILMAFFINITY)"
Le passé (The Past),130,Drama,"Después de cuatro años de separación, Ahmad viaja de Teherán a París a petición de Marie, su esposa francesa, para resolver los trámites de su divorcio. Durante su  estancia, descubre la conflictiva relación entre Marie y su hija. Sus esfuerzos para mejorar esa relación sacarán a flote un secreto del pasado. (FILMAFFINITY)"
Doraibu mai kâ,179,Drama,"Pese a no ser capaz de recuperarse de un drama personal, Yusuke Kafuku, actor y director de teatro, acepta montar la obra ""Tío Vania"" en un festival de Hiroshima. Allí, conoce a Misaki, una joven reservada que le han asignado como chófer. A medida que pasan los trayectos, la sinceridad creciente de sus conversaciones les obliga a enfrentarse a su pasado. (FILMAFFINITY)"
Anomalisa,90,"Animación, Drama, Comedia","La película tiene por protagonista a un motivador profesional que, cuanto más ayuda a la gente, más monótona y anodina es su vida; todo el mundo le parece y le suena igual. Hasta que la voz de una chica le suena diferente y está dispuesto a abandonarlo todo y a todos por alcanzar la felicidad con ella. Película de animación escrita por Charlie Kaufman (Adaptation) con la colaboración de Dan Harmon (creador de Community). (FILMAFFINITY)"
La Famille Bélier,105,"Comedia, Drama","Todos los miembros de la familia Bélier son sordos, excepto Paula, de 16 años. Ella hace de intérprete para sus padres, especialmente en lo que respecta al funcionamiento de la granja familiar. Debido a que a Paula le gusta un chico del instituto, se apunta como él al grupo del coro. Allí descubrirá su talento para el canto... (FILMAFFINITY)"
Luca,95,"Animación, Aventuras, Fantástico, Comedia","La historia se desarrolla en un hermoso pueblo al lado del mar en la Riviera Italiana. Es la del crecimiento de un niño que experimenta un verano inolvidable con helado, pasta e interminables viajes en scooter. Luca comparte estas aventuras con su nuevo mejor amigo, pero toda la diversión se ve amenazada por un gran secreto: es un monstruo marino de otro mundo ubicado justo debajo de la superficie del agua."
