Título,Título Original,Año,Duración,Género,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Sinopsis,Enlace
En los 90,Mid90s,2018,84,Drama,Estados Unidos,"6,9",4.595,Jonah Hill,"Sunny Suljic, Katherine Waterston, Lucas Hedges, Alexa Demie, Na-kel Smith, Olan Prenatt, Gio Galicia, Ryder McLaughlin","Stevie, un chico de 13 años que vive en el Los Ángeles de los años 90, pasa el verano lidiando con los problemas de su vida doméstica y divirtiéndose con su nuevo grupo de amigos, que ha conocido en una tienda de skate. (FILMAFFINITY)",https://www.filmaffinity.com/es/film735937.html
Ida,Ida (Sister of Mercy),2013,80,Drama,Polonia,"6,9",16.867,Pawel Pawlikowski,"Agata Kulesza, Agata Trzebuchowska, Joanna Kulig, Dawid Ogrodnik, Jerzy Trela, Adam Szyszkowski, Artur Janusiak, Halina Skoczynska, Mariusz Jakus","Polonia, 1960. Anna (Agata Trzebuchowska), una novicia huérfana que está a punto de hacerse monja, descubre que tiene un pariente vivo: una hermana de su madre que no quiso hacerse cargo de ella de niña. La madre superiora obliga a Anna a visitarla antes de tomar los hábitos. La tía, una juez desencantada y alcohólica, cuenta a su sobrina que su verdadero nombre es Ida Lebenstein, que es judía y que el trágico destino de su familia se remonta a la terrible época de la ocupación nazi.",https://www.filmaffinity.com/es/film313764.html
Guardianes de la galaxia,Guardians of the Galaxy,2014,118,"Ciencia ficción, Acción, Aventuras, Comedia",Estados Unidos,"6,9",62.115,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Bradley Cooper, Vin Diesel, Lee Pace, Michael Rooker, Karen Gillan","El temerario aventurero Peter Quill es objeto de un implacable cazarrecompensas después de robar una misteriosa esfera codiciada por Ronan, un poderoso villano cuya ambición amenaza todo el universo. Para poder escapar del incansable Ronan, Quill se ve obligado a pactar una complicada tregua con un cuarteto de disparatados inadaptados: Rocket, un mapache armado con un rifle, Groot, un humanoide con forma de árbol, la letal y enigmática Gamora y el vengativo Drax the Destroyer. Pero cuando Quill descubre el verdadero poder de la esfera, deberá hacer todo lo posible para derrotar a sus extravagantes rivales en un intento desesperado de salvar el destino de la galaxia. (FILMAFFINITY)",https://www.filmaffinity.com/es/film316972.html
Columbus,Columbus,2017,104,Drama,Estados Unidos,"6,9",2.814,Kogonada,"John Cho, Haley Lu Richardson, Parker Posey, Michelle Forbes, Rory Culkin, Jim Dougherty, William Willet, Wynn Reichert","Jin se encuentra atrapado en Columbus, Indiana, donde su padre arquitecto está en coma. Allí conoce a Casey una joven de 19 años, bibliotecaria y muy apasionada a la arquitectura que quiere quedarse en la ciudad con su madre, una adicta que se está recuperando, en lugar de perseguir sus sueños. (FILMAFFINITY)",https://www.filmaffinity.com/es/film495771.html
New World,Sinsegye - Sin-se-gae (New World),2013,134,Thriller,Corea del Sur,"6,9",3.642,Park Hoon-jung,"Lee Jung-jae, Choi Min-sik, Hwang Jung-min, Jang Gwang, Song Ji-hyo, Park Sung-woong, Park Sang-gyu, Kim Yoon-seong","Tras la muerte del jefe del sindicato del crimen más poderoso del país, se desencadena una despiadada guerra por su sucesor, donde los asesinatos y las venganzas sacan a relucir un mundo violento y descarnado. En medio de todo ello se encuentra un joven detective de policía infiltrado en la organización, que tendrá que usar su instinto para sobrevivir al caos que se ha impuesto. (FILMAFFINITY)",https://www.filmaffinity.com/es/film127523.html
El niño que domó el viento,The Boy Who Harnessed the Wind,2019,113,Drama,Reino Unido,"6,9",6.145,Chiwetel Ejiofor,"Chiwetel Ejiofor, Maxwell Simba, Joseph Marcell, Aïssa Maiga, Noma Dumezweni, Lemogang Tsipa, Kelvin Maxwell Ngoma, Lily Banda, Beatus Ble Msamange",Un chico de la República de Malaui decide ayudar a las personas de su pueblo construyendo una turbina después de leer un libro en el que se explican los pasos para su creación. Inspirada en una historia real. (FILMAFFINITY),https://www.filmaffinity.com/es/film432987.html
La Liga de la Justicia de Zack Snyder,Zack Snyder's Justice League,2021,242,"Fantástico, Acción",Estados Unidos,"6,9",16.681,Zack Snyder,"Ben Affleck, Gal Gadot, Ezra Miller, Jason Momoa, Ray Fisher, Henry Cavill, Amy Adams, Joe Morton","Con la determinación de asegurar que el sacrificio definitivo de Superman (Henry Cavill) no fue en vano, Bruce Wayne (Ben Affleck) une fuerzas con Diana Prince (Gal Gadot) para reclutar a un equipo de metahumanos que protejan el mundo de una amenaza inminente de proporciones catastróficas. La tarea es más difícil de lo que Bruce imaginaba, ya que cada uno de los reclutas deberá enfrentarse a sus propios demonios para trascender aquello que los detenía, para unirse y formar de manera definitiva una liga de héroes sin precedentes. Ahora unidos, Batman, la Mujer Maravilla, Aquaman (Jason Momoa), Cyborg (Ray Fisher) y Flash (Ezra Miller) deberán salvar al planeta de la amenaza de Steppenwolf, DeSaad y Darkseid, antes de que sea demasiado tarde.",https://www.filmaffinity.com/es/film727076.html
Reina de corazones,Dronningen,2019,127,Drama,Dinamarca,"6,9",2.195,May el-Toukhy,"Trine Dyrholm, Gustav Lindh, Magnus Krepper, Frederikke Dahl Hansen, Diêm Camille G., Preben Kristensen, Mads Wille, Elias Budde Christensen","Annie (Trine Dyrholm) es una exitosa abogada que vive en una casa de estilo modernista con sus dos hijas y su marido Peter, un reputado físico. La aparición de Gustav, un hijo que pertenece a una relación previa de Peter, pone patas arriba la armonía que reina en la vida de Annie. Lo que en un principio parece ser un movimiento liberador para ella, pronto se convierte en una historia de poder y traición que tendrá consecuencias devastadoras en su vida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film115292.html
El viaje de Nisha,Hva vil folk si,2017,106,Drama,Noruega,"6,9",2.397,Iram Haq,"Maria Mozhdah, Adil Hussain, Ekavali Khanna, Rohit Saraf, Ali Arfan, Sheeba Chaddha, Jannat Zubair Rahmani, Lalit Parimoo","Nisha, una chica de 16 años, vive en Noruega una doble vida. En casa es la perfecta hija paquistaní, pero cuando sale con sus amigos se convierte en una chica occidental, acorde con la sociedad en que vive. Cuando su padre la pilla con su novio en su habitación, sus dos mundos chocan. Para darle una lección, sus padres deciden mandarla a Paquistán, donde tendrá que adaptarse a aquella sociedad.  (FILMAFFINITY)",https://www.filmaffinity.com/es/film835250.html
El pasado,Le passé (The Past),2013,130,Drama,Francia,"6,9",5.491,Asghar Farhadi,"Bérénice Bejo, Tahar Rahim, Babak Karimi, Ali Mosaffa, Pauline Burlet, Elyes Aguis, Jeanne Jestin, Sabrina Ouazani, Valeria Cavalli","Después de cuatro años de separación, Ahmad viaja de Teherán a París a petición de Marie, su esposa francesa, para resolver los trámites de su divorcio. Durante su  estancia, descubre la conflictiva relación entre Marie y su hija. Sus esfuerzos para mejorar esa relación sacarán a flote un secreto del pasado. (FILMAFFINITY)",https://www.filmaffinity.com/es/film940946.html
Drive My Car,Doraibu mai kâ,2021,179,Drama,Japón,"6,9",9.799,Ryûsuke Hamaguchi,"Hidetoshi Nishijima, Tôko Miura, Reika Kirishima, Park Yu-rim, Sonia Yuan, Satoko Abe, Masaki Okada, Perry Dizon","Pese a no ser capaz de recuperarse de un drama personal, Yusuke Kafuku, actor y director de teatro, acepta montar la obra ""Tío Vania"" en un festival de Hiroshima. Allí, conoce a Misaki, una joven reservada que le han asignado como chófer. A medida que pasan los trayectos, la sinceridad creciente de sus conversaciones les obliga a enfrentarse a su pasado. (FILMAFFINITY)",https://www.filmaffinity.com/es/film281888.html
Anomalisa,Anomalisa,2015,90,"Animación, Drama, Comedia",Estados Unidos,"6,9",11.917,"Charlie Kaufman, Duke Johnson",,"La película tiene por protagonista a un motivador profesional que, cuanto más ayuda a la gente, más monótona y anodina es su vida; todo el mundo le parece y le suena igual. Hasta que la voz de una chica le suena diferente y está dispuesto a abandonarlo todo y a todos por alcanzar la felicidad con ella. Película de animación escrita por Charlie Kaufman (Adaptation) con la colaboración de Dan Harmon (creador de Community). (FILMAFFINITY)",https://www.filmaffinity.com/es/film980148.html
La familia Bélier,La Famille Bélier,2014,105,"Comedia, Drama",Francia,"6,9",16.494,Éric Lartigau,"Louane Emera, Karin Viard, François Damiens, Luca Gelberg, Roxane Duran, Eric Elmosnino, Ilian Bergala, Clémence Lassalas","Todos los miembros de la familia Bélier son sordos, excepto Paula, de 16 años. Ella hace de intérprete para sus padres, especialmente en lo que respecta al funcionamiento de la granja familiar. Debido a que a Paula le gusta un chico del instituto, se apunta como él al grupo del coro. Allí descubrirá su talento para el canto... (FILMAFFINITY)",https://www.filmaffinity.com/es/film406924.html
Luca,Luca,2021,95,"Animación, Aventuras, Fantástico, Comedia",Estados Unidos,"6,9",18.323,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Saverio Raimondo, Maya Rudolph, Sacha Baron Cohen","La historia se desarrolla en un hermoso pueblo al lado del mar en la Riviera Italiana. Es la del crecimiento de un niño que experimenta un verano inolvidable con helado, pasta e interminables viajes en scooter. Luca comparte estas aventuras con su nuevo mejor amigo, pero toda la diversión se ve amenazada por un gran secreto: es un monstruo marino de otro mundo ubicado justo debajo de la superficie del agua.",https://www.filmaffinity.com/es/film775531.html
Figuras ocultas,Hidden Figures,2016,127,Drama,Estados Unidos,"6,9",18.352,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Jim Parsons, Mahershala Ali, Kirsten Dunst, Glen Powell","Narra la historia nunca contada de tres brillantes mujeres científicas afroamericanas, Katherine G. Johnson (Taraji P. Henson), Dorothy Vaughan (Octavia Spencer) y Mary Jackson (Janelle Monáe), que trabajaron en la agencia espacial NASA a comienzos de los años sesenta (en plena carrera espacial, y asimismo en mitad de la lucha por los derechos civiles de los negros estadounidenses) en el ambicioso proyecto de poner en órbita al astronauta John Glenn. (FILMAFFINITY)",https://www.filmaffinity.com/es/film947523.html
Campeones,Campeones,2018,124,"Comedia, Drama",España,"6,9",36.718,Javier Fesser,"Javier Gutiérrez, Jesús Vidal, Fran Fuentes, Gloria Ramos, Juan Margallo, José de Luna, Sergio Olmo, Athenea Mata","Marco, un entrenador profesional de baloncesto, se encuentra un día, en medio de una crisis personal, entrenando a un equipo compuesto por personas con discapacidad intelectual. Lo que comienza como un problema se acaba convirtiendo en una lección de vida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film206800.html
Cerca de ti,Nowhere Special,2020,91,Drama,Reino Unido,"6,9",1.500,Uberto Pasolini,"James Norton, Daniel Lamont, Eileen O'Higgins, Chris Corrigan, Valene Kane, Louise Mathews, Keith McErlean, Eddie Mohan, Rhoda Ofori-Attah","John, un limpiador de ventanas de 34 años, dedica su vida a criar a su hijo Michael, un niño de cuatro años a quien su madre abandonó justo después de nacer. Ambos llevan una vida simple, elaborada a través de rituales diarios, en una relación de amor sin fisuras. Por desgracia, a John sólo le quedan unos cuantos meses de vida. Dado que no tiene familia, decide invertir los días que le quedan en buscar una nueva familia que adopte a Michael con el fin de salvar a su hijo de descubrir la terrible realidad de la vida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film905940.html
Después del amor,After Love,2020,90,Drama,Reino Unido,"6,9",1.668,Aleem Khan,"Joanna Scanlan, Nathalie Richard, Talid Ariss, Nasser Memarzia, David Hecter, Sudha Bhuchar, Nisha Chadha, Jabeen Butt","Ambientada en la ciudad portuaria inglesa de Dover. Mary Hussain se encuentra repentinamente viuda tras la inesperada muerte de su marido. Un día después del entierro, descubre que él tenía un secreto a solo veintiún millas al otro lado del Canal de la Mancha, en Calais. (FILMAFFINITY)",https://www.filmaffinity.com/es/film383441.html
Victoria,Victoria,2015,140,"Thriller, Drama",Alemania,"6,9",6.415,Sebastian Schipper,"Laia Costa, Frederick Lau, Franz Rogowski, Maximilian Mauff, Burak Yigit, Nadja Laura Mijthab","Rodada en un único plano secuencia, el film tiene como escenario el famoso barrio berlinés de Kreuzberg. La cámara es testigo de todo lo que le pasa a la joven Victoria, una joven española de Berlín, durante dos horas de su vida: desde las cuatro de la mañana hasta las seis: desde que conoce a cuatro jóvenes para los que la noche acaba de empezar, y cómo en ese breve periodo de tiempo le suceden cosas que darán un giro total a su vida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film773475.html
Los hermanos Sisters,The Sisters Brothers (Les Frères Sisters),2018,121,Western,Francia,"6,9",13.563,Jacques Audiard,"Joaquin Phoenix, John C. Reilly, Jake Gyllenhaal, Riz Ahmed, Allison Tolman, Rebecca Root, Jóhannes Haukur Jóhannesson, Ian Reddington","1850. Los hermanos Charlie y Eli Sisters viven en un mundo salvaje y hostil, en plena fiebre del oro. Tienen las manos manchadas de sangre, tanto de criminales como de personas inocentes. No tienen escrúpulos a la hora de matar. Es su trabajo. Charlie (Joaquin Phoenix), el hermano pequeño, nació para matar. Eli (John C. Reilly), sin embargo, sueña con llevar una vida normal. Ambos son contratados por el Comodoro para encontrar y matar a Hermann Kermit Warm (Riz Ahmed), un buscador de oro. De Oregón a California arranca una caza despiadada, un viaje que pondrá a prueba el demencial vínculo entre los dos hermanos.",https://www.filmaffinity.com/es/film111769.html
Sicario,Sicario,2015,121,"Thriller, Acción, Drama",Estados Unidos,"6,9",35.096,Denis Villeneuve,"Emily Blunt, Benicio del Toro, Josh Brolin, Victor Garber, Jon Bernthal, Jeffrey Donovan, Daniel Kaluuya, Maximiliano Hernández","En la zona fronteriza que se extiende entre Estados Unidos y México, la joven Kate Macer, una idealista agente del FBI, es reclutada por una fuerza de élite del Gobierno para luchar contra el narcotráfico. Bajo el mando de Matt Graver, un frío miembro de las fuerzas gubernamentales, y de Alejandro, un enigmático asesor, el equipo emprende una misión que lleva a la mujer a cuestionarse sus convicciones sobre la guerra contra los narcos y los límites de la ley. (FILMAFFINITY)",https://www.filmaffinity.com/es/film484192.html
X-Men: Días del futuro pasado,X-Men: Days of Future Past,2014,130,"Ciencia ficción, Fantástico, Acción",Estados Unidos,"6,9",46.447,Bryan Singer,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Omar Sy, Nicholas Hoult, Ian McKellen, Patrick Stewart","Los X-Men luchan por la supervivencia de la especie en una guerra que se desarrolla en épocas diferentes. Los personajes de la trilogía cinematográfica original de “X-Men” unen sus fuerzas a las que ellos mismos poseían en el pasado, cuando eran más jóvenes (tal y como aparecen en “X-Men: Primera generación”), para cambiar un importante acontecimiento histórico y librar una épica batalla que podría salvar nuestro futuro. (FILMAFFINITY)",https://www.filmaffinity.com/es/film736749.html
